step;demand;disruption;ip_1;ip_2;ip_3;il_1;il_2;il_3;op_1;op_2;op_3;as_1;as_2;as_3;bo_1;bo_3
107;15,0;True;65,0;62,0;63,0;29,0;16,0;34,0;18,0;17,0;18,0;[18.  0. 18.  0.];[46.  0.  0.  0.];[ 0. 11. 18.  0.];0,0;0,0
108;13,0;True;67,0;65,0;62,0;34,0;47,0;16,0;15,0;18,0;17,0;[15. 18.  0.  0.];[ 0.  0. 18.  0.];[11. 18. 17.  0.];0,0;0,0
109;15,0;True;65,0;67,0;65,0;34,0;34,0;12,0;13,0;15,0;18,0;[31.  0.  0.  0.];[ 0. 33.  0.  0.];[36. 17.  0.  0.];0,0;0,0
110;13,0;True;67,0;64,0;67,0;52,0;19,0;35,0;15,0;13,0;15,0;[ 0.  0. 15.  0.];[45.  0.  0.  0.];[32.  0.  0.  0.];0,0;1,0
111;13,0;True;67,0;68,0;64,0;39,0;51,0;51,0;13,0;17,0;13,0;[ 0. 15. 13.  0.];[ 0. 17.  0.  0.];[ 0.  0. 13.  0.];0,0;0,0
112;12,0;True;68,0;67,0;68,0;27,0;38,0;39,0;13,0;12,0;16,0;[15. 26.  0.  0.];[29.  0.  0.  0.];[ 0. 13. 16.  0.];0,0;0,0
113;14,0;True;66,0;68,0;67,0;28,0;55,0;26,0;12,0;13,0;12,0;[26. 12.  0.  0.];[ 0.  0. 13.  0.];[13. 28.  0.  0.];0,0;0,0
114;14,0;True;66,0;66,0;68,0;40,0;41,0;27,0;14,0;12,0;13,0;[26.  0.  0.  0.];[ 0. 25.  0.  0.];[28. 13.  0.  0.];0,0;0,0
115;12,0;True;68,0;66,0;66,0;54,0;27,0;41,0;14,0;14,0;12,0;[14.  0.  0.  0.];[39.  0.  0.  0.];[25.  0.  0.  0.];0,0;0,0
116;10,0;False;70,0;68,0;66,0;58,0;54,0;52,0;12,0;14,0;14,0;[ 0. 12.  0.  0.];[ 0. 14.  0.  0.];[ 0. 14.  0.  0.];0,0;0,0
117;7,0;False;73,0;70,0;68,0;51,0;44,0;40,0;10,0;12,0;14,0;[12. 10.  0.  0.];[26.  0.  0.  0.];[14. 14.  0.  0.];0,0;0,0
118;12,0;False;68,0;73,0;70,0;51,0;63,0;44,0;7,0;10,0;12,0;[17.  0.  0.  0.];[ 0. 10.  0.  0.];[14. 12.  0.  0.];0,0;0,0
119;9,0;False;71,0;68,0;73,0;59,0;51,0;51,0;12,0;7,0;10,0;[ 0. 12.  0.  0.];[10.  7.  0.  0.];[12.  0. 10.  0.];0,0;0,0
120;12,0;False;68,0;71,0;68,0;47,0;52,0;51,0;9,0;12,0;7,0;[12.  9.  0.  0.];[19.  0.  0.  0.];[ 0. 10.  7.  0.];0,0;0,0
121;10,0;False;70,0;68,0;71,0;49,0;59,0;42,0;12,0;9,0;12,0;[ 9. 12.  0.  0.];[0. 9. 0. 0.];[10. 19.  0.  0.];0,0;0,0
122;9,0;False;71,0;70,0;68,0;49,0;49,0;40,0;10,0;12,0;9,0;[12.  0. 10.  0.];[ 9.  0. 12.  0.];[19.  0.  9.  0.];0,0;0,0
123;8,0;False;72,0;71,0;70,0;53,0;49,0;49,0;9,0;10,0;12,0;[ 0. 19.  0.  0.];[ 0. 12. 10.  0.];[12.  9.  0.  0.];0,0;0,0
124;12,0;False;68,0;72,0;71,0;41,0;41,0;52,0;8,0;9,0;10,0;[19.  8.  0.  0.];[21. 10.  0.  0.];[19.  0.  0.  0.];0,0;0,0
125;9,0;False;71,0;68,0;72,0;51,0;50,0;63,0;12,0;8,0;9,0;[20.  0.  0.  0.];[18.  0.  0.  0.];[0. 9. 0. 0.];0,0;0,0
126;6,0;False;74,0;71,0;68,0;65,0;59,0;51,0;9,0;12,0;8,0;[9. 0. 0. 0.];[ 0.  0. 12.  0.];[17.  0.  0.  0.];0,0;0,0
127;8,0;False;72,0;74,0;71,0;66,0;53,0;59,0;6,0;9,0;12,0;[0. 0. 6. 0.];[ 0. 21.  0.  0.];[12.  0.  0.  0.];0,0;0,0
128;14,0;False;66,0;72,0;74,0;52,0;45,0;65,0;8,0;6,0;9,0;[8. 6. 0. 0.];[21.  6.  0.  0.];[0. 0. 9. 0.];0,0;0,0
129;6,0;False;74,0;66,0;72,0;54,0;52,0;57,0;14,0;8,0;6,0;[ 6.  0. 14.  0.];[14.  0.  0.  0.];[0. 9. 6. 0.];0,0;0,0
130;11,0;False;69,0;74,0;66,0;49,0;60,0;43,0;6,0;14,0;8,0;[ 0. 20.  0.  0.];[ 0. 14.  0.  0.];[17.  6.  0.  0.];0,0;0,0
131;11,0;False;69,0;69,0;74,0;38,0;49,0;54,0;11,0;6,0;14,0;[20. 11.  0.  0.];[20.  0.  0.  0.];[20.  0.  0.  0.];0,0;0,0
132;12,0;False;68,0;69,0;69,0;46,0;58,0;63,0;11,0;11,0;6,0;[11.  0. 11.  0.];[ 0. 11.  0.  0.];[0. 0. 6. 0.];0,0;0,0
133;12,0;False;68,0;68,0;69,0;45,0;46,0;52,0;12,0;11,0;11,0;[12. 11.  0.  0.];[11. 11.  0.  0.];[ 0. 17.  0.  0.];0,0;0,0
134;9,0;False;71,0;68,0;68,0;48,0;45,0;40,0;12,0;12,0;11,0;[11.  0. 12.  0.];[11. 12.  0.  0.];[17. 11.  0.  0.];0,0;0,0
135;6,0;False;74,0;71,0;68,0;53,0;47,0;45,0;9,0;12,0;12,0;[ 9. 12.  0.  0.];[12.  0. 12.  0.];[23.  0.  0.  0.];0,0;0,0
136;5,0;False;75,0;74,0;71,0;57,0;53,0;59,0;6,0;9,0;12,0;[18.  0.  0.  0.];[ 0. 21.  0.  0.];[ 0. 12.  0.  0.];0,0;0,0
137;10,0;False;70,0;75,0;74,0;65,0;48,0;53,0;5,0;6,0;9,0;[5. 0. 0. 0.];[27.  0.  0.  0.];[12.  0.  9.  0.];0,0;0,0
138;10,0;False;70,0;70,0;75,0;60,0;65,0;60,0;10,0;5,0;6,0;[ 0. 10.  0.  0.];[0. 0. 5. 0.];[0. 9. 6. 0.];0,0;0,0
139;10,0;False;70,0;70,0;70,0;50,0;55,0;50,0;10,0;10,0;5,0;[10. 10.  0.  0.];[ 0. 15.  0.  0.];[ 9. 11.  0.  0.];0,0;0,0
140;9,0;False;71,0;70,0;70,0;51,0;45,0;49,0;10,0;10,0;10,0;[10. 10.  0.  0.];[15.  0. 10.  0.];[11.  0. 10.  0.];0,0;0,0
141;7,0;False;73,0;71,0;70,0;54,0;51,0;50,0;9,0;10,0;10,0;[10.  0.  9.  0.];[ 0. 20.  0.  0.];[ 0. 10. 10.  0.];0,0;0,0
142;9,0;False;71,0;73,0;71,0;55,0;44,0;41,0;7,0;9,0;10,0;[ 0. 16.  0.  0.];[20.  9.  0.  0.];[20. 10.  0.  0.];0,0;0,0
143;11,0;False;69,0;71,0;73,0;44,0;55,0;54,0;9,0;7,0;9,0;[16.  0.  9.  0.];[9. 7. 0. 0.];[19.  0.  0.  0.];0,0;0,0
144;11,0;False;69,0;69,0;71,0;49,0;53,0;64,0;11,0;9,0;7,0;[11.  9.  0.  0.];[16.  0.  0.  0.];[0. 0. 7. 0.];0,0;0,0
145;10,0;False;70,0;69,0;69,0;50,0;58,0;53,0;11,0;11,0;9,0;[20.  0.  0.  0.];[ 0. 11.  0.  0.];[9. 7. 0. 0.];0,0;0,0
146;12,0;False;68,0;70,0;69,0;58,0;48,0;51,0;10,0;11,0;11,0;[ 0.  0. 10.  0.];[11. 11.  0.  0.];[ 7.  0. 11.  0.];0,0;0,0
147;5,0;False;75,0;68,0;70,0;53,0;47,0;48,0;12,0;10,0;11,0;[ 0. 22.  0.  0.];[11.  0. 10.  0.];[ 0. 11. 11.  0.];0,0;0,0
148;11,0;False;69,0;75,0;68,0;42,0;53,0;36,0;5,0;12,0;10,0;[22.  0.  5.  0.];[ 0. 10. 12.  0.];[11. 11. 10.  0.];0,0;0,0
